숙소명,시군구명,질문1,질문2,질문3,질문4,질문5
정선황토펜션,정선군,병방산군립공원 입구에 위치한 숙소가 있나요? 부모님과 함께 산책을 즐기고 싶습니다,동강이 보이는 전망 좋은 숙소를 찾고 있어요. 강을 바라보며 휴식을 취하고 싶습니다,읍내와 가까운 숙소가 있나요? 부모님이 근처 상점이나 시장에 쉽게 다닐 수 있는 곳을 원합니다,반려견과 함께 머물 수 있는 숙소가 있나요? 가족과 함께 여행을 계획 중입니다,황토 주택으로 쾌적한 공기를 제공하는 숙소가 있을까요? 고령자분이 머물기에 적합한 곳을 찾고 있습니다
코코펜션(구 백가지 나무이야기),정선군,"스키장을 자주 이용할 예정인데, 숙소에서 스키장까지 이동이 쉬운 곳이 있을까요?","부모님이 조용한 환경을 선호하시는데, 카지노와 거리가 어느 정도 떨어진 숙소가 있나요?",등산을 좋아하시는 부모님을 위해 등산로 입구와 가까운 숙소를 찾고 있어요,"대중교통을 이용할 계획이라, 숙소에서 가장 가까운 버스 정류장이나 역이 어디에 있는지 알 수 있을까요?",주변에 산책하기 좋은 공원이나 자연 경관이 있는 숙소가 있나요?
갤럭시 모텔,정선군,"화암 동굴을 구경할 계획인데, 가까운 숙소가 어디에 있을까요?","정선 5일장을 방문하려고 하는데, 걸어서 갈 수 있는 거리에 숙소가 있나요?","정선 카지노를 이용할 생각인데, 늦은 시간에도 안전하게 이동할 수 있는 숙소를 추천해 주세요",겨울에 정선 스키장을 이용하려고 합니다. 스키장과 가까운 숙소가 있을까요?,"자연을 즐기고 싶어서, 정선 지역의 산책로가 잘 마련된 숙소가 있나요?"
상유재,정선군,정선아리랑시장에서 장을 보고 돌아오는 길이 편리할까요?,정선 읍내에 위치한 곳 중에서 고령자도 쉽게 접근할 수 있는 숙소가 있을까요?,돌담이나 뽕나무 같은 자연경관을 즐기기에 좋은 숙소 주변 산책로가 있나요?,차 없이 정선 읍내에서 관광하기에 편리하게 위치한 숙소가 있을까요?,숙소에서 정선의 주요 관광지를 대중교통으로 쉽게 이동할 수 있는 위치인가요?
강과 소나무,정선군,숙소 주변에 평탄한 산책로가 있는 곳을 추천해줄 수 있나요? 부모님께서 아침 산책을 즐기세요,"대중교통을 이용할 계획인데, 정선군에서 접근성이 좋은 숙소가 있을까요?",숙소 근처에 경사진 길이 많지 않은 곳이 있나요? 무릎이 불편하신 분과 함께 갈 예정입니다,숙소에서 가까운 곳에 약국이나 병원이 있는지 알고 싶어요. 응급 상황에 대비하고 싶습니다,여름철에 시원한 계곡을 쉽게 접근할 수 있는 숙소가 있을까요? 물놀이를 즐기고 싶습니다
모래불 펜션(모래불 스테이),정선군,"정선 레일바이크를 타고 싶어 하시는데, 근처에 머물기 좋은 숙소가 있을까요?",부모님이 정선5일장을 구경하고 싶어 하세요. 도보로 이동하기 편리한 숙소가 있나요?,"한적하게 자연을 즐기고 싶으신데, 계곡 근처에 위치한 숙소를 추천해 주세요","주변이 조용하고 공기 좋은 곳을 선호하시는데, 강원도의 청정지역에 있는 숙소가 있을까요?",시냇물 소리를 들으며 쉴 수 있는 곳을 찾고 있어요. 계곡 근처에 있는 숙소가 어디 있을까요?
백두대간 약초나라,정선군,숲속을 산책하며 여유를 즐길 수 있는 곳이 있나요? 주변에 숲길이나 자연 경관을 즐길 수 있는 숙소가 궁금해요,모노레일을 쉽게 이용할 수 있는 숙소가 있을까요? 가족과 함께 편안하게 마을과 자연을 둘러볼 수 있으면 좋겠어요,자전거 하이킹을 즐기기 위해 자전거 대여점이나 하이킹 코스가 가까운 숙소가 있을까요?,"전통 체험을 하고 싶은데, 엿 만들기나 활쏘기 체험을 쉽게 할 수 있는 숙소가 있나요?","자연 속에서 휴식을 원하는데, 고지대에서 시원한 공기를 느낄 수 있는 숙소가 어디에 있나요?"
마을호텔18번가,정선군,"부모님이 산책을 즐기시는데, 숙소 근처에 걷기 좋은 산책로가 있나요?",고령자분들이 이용하기에 적합한 접근성이 좋은 편의시설이 주변에 있나요?,"조용한 휴식을 원하시는데, 숙소 근처에 교통 소음이 적은 곳이 있나요?",장애인 편의시설이 잘 되어있는 레스토랑이나 식당이 근처에 있나요?,가족과 함께 즐길 수 있는 문화 체험 프로그램이 마을에서 진행되나요?
그랜드 인투라온호텔 정선,정선군,숲을 바라보며 휴식을 취할 수 있는 숙소가 있나요? 자연의 싱그러움을 느낄 수 있는 곳이면 좋겠어요,주변 관광지를 쉽게 방문할 수 있는 숙소가 필요해요. 하이원 스키장이나 정선 레일바이크 같은 곳에 접근성이 좋은 곳이 있을까요?,"연회나 행사를 계획 중인데, 대규모 인원을 수용할 수 있는 연회장이 있는 숙소를 추천해 주세요",자연 속에서의 고요한 아침을 즐기고 싶어요. 숲 전망이 있는 숙소가 어디에 있나요?,근처에 산책로가 잘 조성되어 있는 숙소가 있을까요? 부모님과 함께 산책을 즐기고 싶습니다
프로방스 펜션,정선군,"정선 지역의 풍경을 즐기고 싶은데, 근처에 산책하기 좋은 자연 경관이 있는 숙소가 있을까요?","대중교통을 이용할 예정인데, 정선 시내와 가깝고 접근성이 좋은 숙소를 추천해줄 수 있나요?","가족들과 함께 전통시장을 방문하고 싶은데, 정선 오일장이나 지역 시장이 가까운 숙소가 있을까요?",고령자분들이 앉아서 쉴 수 있는 공원이나 휴식 공간이 숙소 주변에 잘 마련되어 있나요?,반려견을 데리고 산책할 수 있는 강이나 호수가 숙소 근처에 있는지 알고 싶습니다. 추천해주실 수 있나요?
메이플펜션,정선군,강원도 정선의 자연경관을 즐길 수 있는 숙소가 있나요? 특히 주변에 산책할 수 있는 자연 환경이 잘 조성된 곳이었으면 좋겠어요,"대중교통을 이용할 계획인데, 정선 버스터미널과 가까운 숙소가 있을까요? 이동이 편리했으면 합니다","고령의 부모님과 함께 여행을 가는데, 정선 오일장과 같은 전통시장이 가까운 숙소를 추천받고 싶습니다",주변에 지역 명소나 관광지를 쉽게 방문할 수 있는 숙소가 있을까요? 정선의 주요 관광지를 둘러보고 싶습니다,"반려견을 동반할 예정인데, 정선에서 애견과 함께 산책하기 좋은 공원이나 산책로가 가까운 숙소가 있을까요?"
하이하늘펜션,정선군,"부모님과 함께 반려견을 데리고 갈 예정인데, 근처에 반려견과 산책할 수 있는 자연 산책로가 잘 갖춰져 있는 곳이 있나요?",시골의 고즈넉한 분위기를 느끼고 싶어서요. 근처에 전통적인 마을이나 농촌 체험이 가능한 장소가 있는 숙소가 있을까요?,"가족들과 함께 조용히 자연을 즐기고 싶은데, 근처에 차량 소음이 적고 조용한 환경의 숙소를 찾고 있어요","자연 속에서 편안히 쉬고 싶은데, 근처에 온천이나 스파 시설이 있는 숙소가 있을까요?",부모님과 함께 별을 관찰하고 싶어요. 근처에 빛 공해가 적고 밤하늘이 아름답게 보이는 장소가 있는 숙소가 있을까요?
락있수다펜션,정선군,숙소 근처에 자연과 함께 산책을 즐길 수 있는 공원이나 산책로가 있나요?,"대중교통을 이용해 이동할 예정인데, 인근에 버스 정류장이나 지하철역이 있는지 궁금합니다","반려견과 함께 갈 예정인데, 숙소 주변에 반려견과 산책하기 좋은 장소가 있을까요?",주변에 지역 특산물을 맛볼 수 있는 전통 시장이나 식당이 있는지 알고 싶습니다,"저희 부모님이 전통 문화 체험을 좋아하시는데, 근처에 그런 체험을 할 수 있는 곳이 있나요?"
또바기콘도펜션,정선군,숙소 근처에 휠체어 접근이 가능한 산책로가 잘 마련되어 있는지 궁금해요,시내 병원과 가까운 위치에 있는 숙소가 있나요?,"대중교통을 이용해야 하는데, 숙소 근처에 버스 정류장이나 지하철역이 편리하게 위치해 있나요?",부모님이 지역 문화를 체험할 수 있는 박물관이나 전시관이 숙소 근처에 있는지 알고 싶어요,도보로 이동 가능한 거리에 편의점이나 마트가 있는 숙소가 있을까요?
가리왕산이야기 펜션,정선군,가리왕산 근처에서 자연을 즐기며 산책할 수 있는 숙소가 있을까요?,"대중교통을 이용할 예정인데, 가리왕산 자연휴양림 입구까지 접근이 쉬운 숙소가 있나요?","조용히 차를 마실 수 있는 전통 다실이 있는 곳을 찾고 있는데, 가리왕산 근처에 그런 숙소가 있을까요?",가족과 함께 넓은 공간에서 시간을 보내고 싶어요. 10명 이상이 함께 머물 수 있는 숙소를 추천해줄 수 있나요?,"황토방에서 휴식을 취하고 싶은데, 가리왕산 주변에 그런 숙소가 있을까요?"
도원펜션,정선군,"가리왕산 하봉 근처에 위치한 숙소로, 산책하기에 좋은 길이나 경치가 좋은 곳이 있을까요?",어도원 계곡 주변에 있는 숙소에서 맛있는 지역 음식을 경험할 수 있는 식당이 가까이에 있나요?,"차가 없어서 대중교통을 이용해야 하는데, 가리왕산으로 가는 버스 정류장과 가까운 숙소가 있을까요?","자연 속에서 조용히 쉴 수 있는 숙소를 찾고 있는데, 어도원 계곡 주변이 한적한가요?","산림이 주변에 많다고 들었는데, 어도원 계곡 근처 숙소에서 숲속 체험 프로그램이나 가이드 투어가 제공되나요?"
은하수와여울 펜션,정선군,"레일바이크를 즐기고 싶어하는데, 아우라지 근처에 숙소가 있을까요?","강을 바라보며 여유롭게 쉴 수 있는 곳을 찾고 있는데, 조양강 근처에 좋은 숙소가 있나요?",부모님과 함께 자연을 느끼며 등산을 하고 싶습니다. 상정바위로의 등산코스가 있는 숙소를 추천해 줄 수 있나요?,"청정숲길을 산책하며 힐링하고 싶은데, 숲길로 접근하기 편리한 숙소가 있을까요?","조용한 환경에서 자연과 함께 시간을 보내고 싶은데, 정선군의 관광펜션 중 추천할 만한 곳이 있나요?"
하이랜드호텔,정선군,"휠체어를 사용하는 어머니와 여행할 계획인데, 경사로가 잘 마련된 숙소가 있을까요?",침실과 온돌 객실 중 선택할 수 있는 숙소가 있나요? 부모님께서 온돌을 선호하세요,"장애인 전용 객실이 있는 숙소를 찾고 있는데, 어디가 좋을까요?",정암사와 가까운 숙소 중에 고령자 및 장애인을 위한 편의시설이 잘 되어 있는 곳이 있을까요?,"삼탄아트마인에 방문할 예정인데, 그 주변에 머물기 좋은 숙소가 있을까요?"
해피스테이션 기차펜션,정선군,정선 구절리역 근처에 위치한 숙소에서 송천강변을 산책할 수 있는지 궁금합니다,"부모님과 함께 여치 카페에서 커피를 즐기고 싶은데, 도보로 쉽게 이동할 수 있는 숙소가 있을까요?","레일바이크를 타고 싶은데, 숙소에서 쉽게 접근할 수 있는 위치에 있나요?",테라스에서 구절리의 전경을 감상할 수 있는 숙소가 있나요?,"정선 지역의 다른 관광지를 방문할 예정인데, 교통편이 편리한 숙소가 어디인지 알려주세요"
달빛마을,정선군,"강원도의 자연을 느낄 수 있는 산책로가 가까운 숙소를 찾고 있는데, 추천해줄 수 있을까요?",주변에 전통시장이 있는 숙소를 알고 싶어요. 부모님과 함께 지역 특산물을 구경하고 싶습니다,역사적인 명소를 둘러보고 싶어요. 근처에 그런 장소가 있는 숙소가 있을까요?,"대중교통을 이용하려고 하는데, 버스 정류장이 가까운 숙소가 있나요?",강원도의 전통 음식을 맛볼 수 있는 식당이 주변에 있는 숙소가 있을까요?
물소리바람소리펜션,정선군,"부모님이 물소리를 들으며 휴식을 취하고 싶어 하시는데, 계곡 근처에 숙소가 있나요?","부모님께서 자연 경관을 좋아하시는데, 폭포가 보이는 숙소를 추천해 주세요",낚시를 좋아하시는 아버지를 위해 낚시를 즐길 수 있는 계곡 근처 숙소가 있을까요?,어머니가 여유롭게 커피를 즐기실 수 있는 경치가 좋은 숙소가 있나요?,부모님이 가까운 거리에서 산책을 즐길 수 있는 산책로가 있는 숙소를 찾고 있어요
한탄리버스파호텔,철원군,철의 삼각지 근처에 위치한 숙소 중에서 휠체어 접근이 용이한 곳이 있나요?,"고석정 국립관광지와 가까운 숙소를 찾고 있는데, 다른 편의시설도 잘 갖춰져 있는 곳이 있을까요?","휠체어를 사용하는 가족과 함께 여행할 예정인데, 주 출입구에 계단이 없는 숙소가 있을까요?",부모님이 편하게 이용할 수 있도록 장애인 편의시설이 잘 마련된 숙소를 추천받고 싶어요,"가족 중 한 분이 거동이 불편하신데, 객실까지 휠체어로 이동이 가능한 숙소가 있을까요?"
그린모텔,철원군,고석정 근처에 있는 숙소에서 한탄강을 산책할 수 있는 좋은 장소가 있을까요?,"철의 삼각전적지 관리사무소를 방문하고 싶은데, 도보로 쉽게 접근 가능한 숙소가 있을까요?",자연산 민물매운탕을 맛볼 수 있는 식당이 가까운 숙소를 추천받고 싶어요,고령자에게 적합한 관광코스가 잘 마련된 고석정 인근 숙소가 있나요?,"차량 없이 이동할 계획인데, 철원군 동송읍에서 대중교통 접근성이 좋은 숙소가 있을까요?"
하늘마루 펜션,철원군,고석정 유람선을 타고 한탄강 계곡 절경을 관람할 수 있는 숙소가 있을까요?,"부모님이 자연 속 산책을 좋아하시는데, 넓은 잔디밭이 있는 숙소를 찾고 싶어요",철원에서 안보관광을 쉽게 다녀올 수 있는 숙소가 있나요?,지역 특산품인 친환경 쌀이나 채소를 구매할 수 있는 숙소가 있을까요?,고령자도 쉽게 접근할 수 있는 한탄강 래프팅 경험이 가능한 숙소를 추천받고 싶어요
고다리조트,철원군,"부모님이 자연을 좋아하시는데, 한탄강 근처에서 산책할 수 있는 숙소가 있을까요?","가족과 함께 온천을 즐기고 싶은데, 숙소 주변에 온천 시설이 잘 되어 있는 곳이 있나요?","부모님께서 역사에 관심이 많으신데, 전적관을 방문하기 편리한 숙소를 추천해 줄 수 있나요?","차가 없이 이동해야 하는데, 철원읍 중심지와 가까운 숙소가 있을까요?","부모님이 수영을 좋아하시는데, 대형 수영장을 갖춘 숙소를 찾고 있습니다. 추천해 주실 수 있나요?"
별비내리는마을펜션,철원군,반려견과 함께 산책할 수 있는 공원이 가까운 숙소가 있을까요?,고령자분들이 편안하게 접근할 수 있는 텃밭이 있는 숙소를 찾고 있어요. 어디가 좋을까요?,주변에 조용한 자연 경관을 감상할 수 있는 산책로가 있는 숙소가 있을까요?,"대중교통을 이용할 예정인데, 주요 버스 정류장이나 역에서 가까운 숙소가 있나요?",근처에 전통적인 마을을 둘러볼 수 있는 곳이 있는 숙소를 추천해주실 수 있나요?
케렌시아펜션,철원군,"고석정을 가까이에서 보고 싶어 하시는데, 걸어서 이동 가능한 숙소가 있나요?","한탄강 주변에서 자연을 즐기고 싶은데, 강변 산책로가 잘 조성된 숙소가 있을까요?",부모님께서 탁 트인 전망을 좋아하셔서 강 계곡이 잘 보이는 숙소를 찾고 있어요,"반려견과 함께할 수 있는 숙소를 찾고 있는데, 근처에 반려견과 산책하기 좋은 장소가 있는지 궁금해요","부모님께서 조용하고 쾌적한 환경을 원하시는데, 한탄강 주변에 그런 숙소가 있나요?"
바위샘펜션,철원군,주변에 산책할 수 있는 조용한 곳이 있는 숙소가 있을까요? 부모님이 아침 산책을 좋아하셔서요,"차가 없어서 대중교통을 이용해야 하는데, 근처에 버스 정류장이나 기차역이 가까운 숙소가 있나요?",주변에 역사적인 명소나 관광지가 있는 숙소를 찾고 있어요. 부모님이 문화 탐방을 좋아하셔서요,경치 좋은 전망을 즐길 수 있는 숙소가 있을까요? 부모님께서 자연을 즐기시는 걸 좋아하십니다,편안한 휴식을 취할 수 있는 조용한 숙소가 필요해요. 근처에 소음이 없는 곳이 있을까요?
마이그린 펜션,철원군,"부모님께서 한탄강 레포츠를 즐기고 싶어 하시는데, 숙소에서 접근하기 쉬운 곳에 레포츠 시설이 있나요?","자연을 좋아하시는 부모님을 위해, 근처에 경치를 감상할 수 있는 전망대가 있는 숙소가 있을까요?",산책로가 잘 조성되어 있는 울창한 산림 근처 숙소를 찾고 있어요. 추천해주실 곳이 있나요?,철원 지역의 유명한 관광지를 쉽게 방문할 수 있는 숙소가 있나요?,철원에 있는 두루미 서식지를 가까이에서 볼 수 있는 숙소가 있을까요?
새바라기 펜션,철원군,철원 번지점프장 근처에 위치한 숙소가 있나요? 고령자분들이 이용하기에 접근성이 좋은지 궁금합니다,한탄강의 기암절벽 경치를 즐길 수 있는 숙소가 있을까요? 고령자분들이 쉽게 접근할 수 있는지 알고 싶어요,"공동 샤워장과 화장실을 사용하는 숙소인데, 장애인을 위한 편의시설이 잘 갖추어져 있는지 확인할 수 있을까요?",단체 손님을 위한 넓은 바비큐장이 있는 숙소가 있나요? 고령자나 장애인이 이용하기에 적합한지 알고 싶습니다,"넓은 주차장이 있는 숙소를 찾고 있는데, 고령자분들이 숙소까지 쉽게 이동할 수 있는지 궁금합니다"
별이든 샘 펜션,철원군,근처에 산책하기 좋은 호수나 강변이 있는 숙소를 찾고 있어요. 추천해주실 수 있나요?,부모님께서 전통시장을 방문하고 싶어 하세요. 가까운 거리에 전통시장이 있는 숙소가 있을까요?,주변에 조용히 자연을 즐길 수 있는 숲길이나 산책로가 있는 숙소를 알고 싶습니다,"차 없이 이동할 예정인데, 대중교통이 편리한 숙소가 근처에 있을까요?",고령자분들이 이용하기 편리한 경사가 완만한 등산로가 가까이에 있는 숙소가 있나요?
노스텔지아 펜션,철원군,"부모님께서 산책을 즐기시는데, 한탄강 주변에 산책로가 잘 마련된 숙소가 있을까요?","가족들이 함께 레저스포츠를 체험하고 싶어 하는데, 한탄강에서 레프팅을 즐길 수 있는 숙소가 어디에 있나요?","낚시를 좋아하시는 아버지를 위해, 숙소 근처에 낚시터나 연못이 있는 곳을 추천해 주세요","어머니께서 수영을 좋아하시는데, 수영장이 넉넉하게 마련된 숙소가 한탄강 근처에 있을까요?","보호자와 함께 족구를 즐길 계획인데, 족구장이 잘 갖춰진 숙소가 주변에 있는지 알고 싶어요"
별헤는밤,철원군,"부모님께서 산책을 즐기시는데, 금학산의 자연을 느낄 수 있는 숙소가 있을까요?",가족들과 배드민턴을 칠 수 있는 시설이 있는 숙소가 있나요?,"캠핑을 좋아하는 가족이 함께 갈 건데, 근처에 넓은 야영장이 있는 숙소를 추천해 주세요",어르신들이 차로 이동하기 편하도록 주차 공간이 넉넉한 숙소가 어디 있을까요?,깨끗하고 맑은 물이 흐르는 계곡 근처에 있는 숙소를 찾고 있어요. 그런 곳이 있을까요?
오벨리스크,철원군,강가를 따라 산책할 수 있는 경로가 잘 조성된 숙소가 있나요?,시골의 정겨운 풍경을 즐길 수 있는 농촌 체험 프로그램이 가까운 숙소가 있을까요?,"대중교통을 이용할 계획인데, 근처에 버스 정류장이 가까운 숙소가 있나요?","자연의 소리를 들으며 휴식을 취하고 싶은데, 조용한 들판이 보이는 숙소가 있을까요?",주변 지역의 전통 시장이나 로컬 식당을 쉽게 방문할 수 있는 숙소가 있나요?
한탄강 디퍼펜션,철원군,"부모님과 함께 머무를 곳을 찾고 있는데, 직탕폭포까지 쉽게 접근할 수 있는 숙소가 있을까요?","번지점프를 즐기고 싶은데, 해당 시설과 가까운 숙소가 있을까요?","가족과 함께 래프팅을 계획하고 있는데, 근처에 래프팅을 즐길 수 있는 숙소가 있을까요?",고령자분들도 쉽게 이용할 수 있는 바비큐 시설이 있는 숙소가 있을까요?,한탄강의 절경을 감상할 수 있는 전망이 좋은 숙소가 있나요?
마운틴밸리 펜션,철원군,"한탄강계곡이 가까운 곳에 머물고 싶은데, 산책로가 잘 조성된 숙소가 있나요?","주변에 푸른 숲이 많다고 했는데, 숲길을 따라 걸을 수 있는 숙소를 추천해줄 수 있나요?",밤하늘의 별을 감상하기 좋은 위치에 있는 숙소가 있을까요?,꽃이 만발한 봄철에 자연경관을 즐길 수 있는 숙소가 어디 있나요?,물고기들이 노니는 강가를 가까이서 볼 수 있는 숙소가 있나요?
늘푸른 펜션,철원군,고석정에서 가까운 곳에 위치한 숙소를 추천받고 싶습니다. 관광지를 쉽게 방문할 수 있나요?,한탄강에서 뱃놀이를 즐긴 후 쉽게 돌아올 수 있는 숙소가 있을까요?,"온천욕을 즐기고 싶은데, 근처에 온천 시설이 있는 숙소가 있나요?","가족과 함께 전적관을 방문할 계획인데, 걸어서 갈 수 있는 거리에 숙소가 있나요?",유럽형 목조건축물의 매력을 느낄 수 있는 숙소가 고석정랜드 근처에 있나요?
꿈의궁전모텔,철원군,북주산 자연휴양림에서 자연을 만끽할 수 있는 숙소가 근처에 있나요?,"철원 DMZ 안보 견학을 계획 중인데, 접근이 용이한 숙소를 추천해 주세요","한탄강 주상절리를 방문할 예정인데, 그 주변에 머물기 좋은 숙소가 있을까요?","삼부연폭포를 가까이에서 보고 싶은데, 그 근처 숙소를 알고 싶어요","심원사를 조용히 둘러보고 싶은데, 걸어서 갈 수 있는 숙소가 있을까요?"
대명관광호텔,철원군,"복주산 자연휴양림에서 산책을 즐기고 싶은데, 가까운 숙소가 있나요?",승리 전망대에서 철원의 안보 관광을 쉽게 할 수 있는 숙소를 추천해줄래요?,"쉬리마을에서 북한 전통문화를 체험하고 싶은데, 방문하기 편리한 숙소가 어디인지 알 수 있을까요?",한탄강 순담계곡의 자연을 감상하기 좋은 숙소가 주변에 있나요?,"철원 시외버스터미널에서 이동하기 편리한 숙소를 찾고 있어요, 어떤 곳이 좋을까요?"
드림파크모텔,철원군,"고석정 관광단지에서 다양한 체험 관광을 즐기고 싶은데, 걸어서 이동 가능한 숙소가 있을까요?","제2땅굴과 철의삼각지를 둘러볼 계획인데, 이 역사적인 장소들에 접근하기 쉬운 숙소가 있나요?","부모님과 함께 자연 경관을 즐기고 싶은데, 월정역이나 고석정랜드 근처에 머물 수 있는 곳이 있나요?","주말에 철원 노동당 청사 방문이 예정되어 있는데, 그 주변에서 숙박할 수 있는 곳이 있나요?","가족들이 레저 스포츠를 좋아해서 래프팅이나 번지점프를 즐길 계획인데, 가까운 거리에 위치한 숙소가 있을까요?"
춘천베어스관광호텔,춘천시,춘천 문화예술회관 근처에 위치한 숙소가 있나요? 부모님과 함께 방문하려고 합니다,KT&G 상상마당 춘천 아트 센터까지 도보로 이동이 가능한 숙소를 찾고 있습니다. 추천해 주실 수 있나요?,휠체어 사용자에게 적합한 시설을 갖춘 숙소가 있을까요? 부모님과 함께 머물 계획입니다,"고령의 부모님과 함께할 예정인데, 장애인용 화장실이나 샤워 시설이 잘 갖춰진 숙소가 있나요?",고령자도 편안하게 머물 수 있는 숙소가 있을까요? 특별한 편의시설이 있는지 궁금합니다
레고랜드호텔,춘천시,춘천역과 가까운 숙소 중에서 고령자도 편리하게 이용할 수 있는 곳이 있을까요?,하중도 생태공원 주변에 위치한 숙소 중에서 장애인 편의시설이 잘 갖춰진 곳이 있을까요?,"휠체어를 사용하는 어머니와 함께 여행할 예정인데, 주 출입구에 계단이 없는 숙소가 있을까요?",시각장애가 있는 분이 이용하기 적합한 점자 안내판이 잘 마련된 숙소가 있을까요?,장애인을 위한 지원 객실이 있는 숙소를 추천받을 수 있을까요?
호텔공지천,춘천시,춘천 남이섬 근처에 위치한 숙소 중 장애인을 위한 편의시설이 잘 갖춰진 곳이 있을까요?,춘천종합운동장과 가까운 숙소 중에서 편의시설이 잘 마련된 곳을 추천받을 수 있을까요?,"휠체어를 사용하시는 어머니와 함께 머물 예정인데, 숙소에 장애인 전용 객실이 있는지 궁금합니다","발이 불편하신 아버지를 모시고 가려고 하는데, 숙소에 엘리베이터가 설치되어 있나요?",청각장애가 있는 할머니를 위해 시각적 안내가 잘 되어 있는 숙소를 찾고 있습니다. 추천해 주실 수 있나요?
에스파스호스텔,춘천시,춘천 명동거리와 육림고개에 쉽게 접근할 수 있는 숙소가 있을까요?,"남이섬 근처에서 머물 수 있는 숙소를 찾고 있는데, 추천해 주실 만한 곳이 있을까요?","휠체어를 사용하시는 어머니와 함께 여행할 예정인데, 장애인을 위한 편의시설이 잘 갖춰져 있는 숙소가 있나요?","부모님께서 계단을 오르기 힘드셔서 그러는데, 엘리베이터가 있는 숙소가 있을까요?",세탁 시설이 마련되어 있어 장기 체류에 적합한 숙소가 있을까요?
도도스테이,춘천시,"춘천에서 가족 여행을 계획 중인데, 고령자분들이 머물기에 편리한 숙소가 있을까요?",춘천 시내에 가까운 숙소 중에서 이동이 편리한 곳을 찾고 있어요. 추천해주실 만한 곳이 있을까요?,"휠체어를 사용하시는 어머니와 함께 묵을 예정인데, 장애인 편의시설이 잘 갖춰진 숙소가 있을까요?",부모님이 연세가 많으셔서 엘리베이터가 있는 숙소를 찾고 있습니다. 어떤 곳이 좋을까요?,장애인 주차 공간이 확보된 숙소가 있는지 알고 싶어요. 그런 곳이 있을까요?
호텔 인트로,춘천시,"부모님께서 북한강을 따라 산책을 즐기고 싶어 하시는데, 강 주변으로 산책하기 좋은 숙소가 있을까요?","대중교통을 이용할 예정인데, 강촌 전철역에서 가까운 숙소가 있을까요?","다양한 체험활동을 즐길 수 있는 곳을 찾고 있는데, 강촌유원지 중심가와 가까운 숙소가 있나요?","놀이시설을 가까이에서 즐기고 싶은데, 강촌랜드 근처에 위치한 숙소가 있을까요?",차를 가져갈 예정이라 주차가 편리한 숙소가 필요해요. 넓은 주차장이 있는 숙소를 추천해줄 수 있나요?
강촌 느티나무마을펜션,춘천시,"춘천역에서 가까운 숙소를 찾고 있는데, 차로 5분 거리의 숙소가 있을까요?","춘천버스터미널에서 멀지 않은 숙소를 찾고 있는데, 차로 8분 거리에 위치한 곳이 있을까요?",휠체어를 사용하는 가족이 있어요. 출입구에 경사로가 잘 설치된 숙소가 있을까요?,"부모님께서 장애인 전용 주차장을 필요로 하시는데, 그런 주차 시설이 마련된 숙소가 있을까요?",시각장애가 있는 가족이 있어요. 음성안내기가 제공되는 숙소가 있나요?
춘천세종호텔,춘천시,"강촌역과 가까운 곳에 위치한 숙소가 있으면 좋겠는데, 걸어서 접근 가능한 숙소가 있을까요?","부모님과 함께 머물 예정인데, 강촌 중심지에서 이동이 쉬운 숙소가 있을까요?",별빛을 감상할 수 있는 숙소가 있다면 추천해 주실 수 있나요?,"강촌에서 산책하기 좋은 곳이 있으면 알려주시고, 그 근처 숙소도 추천해 주세요","저녁에 주변 경치를 즐기면서 산책할 수 있는 숙소를 찾고 있는데, 조용한 숙소가 있을까요?"
강촌w펜션,춘천시,근처에 강변 산책로가 있어서 부모님과 함께 편안하게 산책할 수 있는 숙소가 있을까요?,반려견과 함께 머물면서 쉽게 접근할 수 있는 공원이 근처에 있는 숙소를 추천해 주세요,"대중교통을 이용할 예정인데, 가까운 버스 정류장이나 기차역에서 접근이 쉬운 숙소가 있나요?",주변에 전통시장이 있어서 현지 음식을 쉽게 경험할 수 있는 곳이 어디인가요?,"조용히 여유를 즐길 수 있는 곳을 찾고 있는데, 강촌 근처에 자연경관이 좋은 숙소가 있을까요?"
강촌잠빌펜션,춘천시,춘천에 위치한 숙소 중에서 호반 근처에 있어 산책하기 좋은 곳이 있나요?,"춘천 시내 관광을 계획하고 있는데, 시내 접근성이 좋은 숙소를 추천해줄 수 있나요?",춘천의 유명한 닭갈비 골목과 가까운 숙소가 있을까요?,반려견과 함께 편안하게 머물 수 있는 숙소 중에서 춘천호를 조망할 수 있는 곳이 있나요?,춘천에서 대중교통을 이용하기 편리한 위치에 있는 숙소가 어디인지 알려줄 수 있나요?
수한예,춘천시,춘천 시내와 가까운 숙소가 있으면 추천해 주실 수 있나요? 부모님이 도심 접근성을 중요하게 여기세요,춘천호와 가까운 숙소가 있나요? 부모님께서 호수 주변에서 산책하는 것을 좋아하셔서요,반려견과 함께 주변을 산책할 수 있는 강변이 가까운 숙소가 있을까요?,어르신들이 춘천 명동 닭갈비 거리에 쉽게 방문할 수 있는 숙소가 있을까요?,부모님이 춘천의 유명한 김유정 문학촌을 방문하고 싶어 하세요. 그 근처에 머무를 만한 숙소가 있을까요?
